This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	29.30	640	541	648	1.01294
88.30	64.80	29.20	646	538	658	1.01859
88.30	64.80	29.10	653	541	661	1.01294
88.30	64.80	29.00	654	540	664	1.01481
88.30	64.80	28.90	651	540	661	1.01481
88.30	64.80	28.80	657	544	662	1.00735
88.30	64.80	28.70	659	544	664	1.00735
88.30	64.80	28.60	659	542	666	1.01107
88.30	64.80	28.50	662	538	674	1.01859
88.30	64.80	28.40	676	540	686	1.01481
88.30	64.80	28.30	678	543	684	1.00921
88.30	64.80	28.20	681	543	687	1.00921
88.30	64.80	28.10	683	545	687	1.00550
88.30	64.80	28.00	683	542	691	1.01107
88.30	64.80	27.90	675	542	682	1.01107
88.30	64.80	27.80	673	542	680	1.01107
88.30	64.80	27.70	679	545	683	1.00550
88.30	64.80	27.60	682	541	691	1.01294
88.30	64.80	27.50	682	543	688	1.00921
88.30	64.80	27.40	686	541	695	1.01294
88.30	64.80	27.30	689	543	695	1.00921
88.30	64.80	27.20	694	544	699	1.00735
88.30	64.80	27.10	693	543	699	1.00921
88.30	64.80	27.00	692	545	696	1.00550
88.30	64.80	26.90	697	545	701	1.00550
88.30	64.80	26.80	692	541	701	1.01294
88.30	64.80	26.70	697	542	705	1.01107
88.30	64.80	26.60	699	540	709	1.01481
88.30	64.80	26.50	706	539	718	1.01670
88.30	64.80	26.40	713	545	717	1.00550
88.30	64.80	26.30	710	542	718	1.01107
88.30	64.80	26.20	713	541	722	1.01294
88.30	64.80	26.10	716	540	727	1.01481
88.30	64.80	26.00	720	537	735	1.02048
88.30	64.80	25.90	735	541	745	1.01294
88.30	64.80	25.80	738	544	743	1.00735
88.30	64.80	25.70	737	540	748	1.01481
88.30	64.80	25.60	740	543	747	1.00921
88.30	64.80	25.50	743	541	753	1.01294
88.30	64.80	25.40	746	542	754	1.01107
88.30	64.80	25.30	750	543	757	1.00921
88.30	64.80	25.20	746	542	754	1.01107
88.30	64.80	25.10	753	540	764	1.01481
88.30	64.80	25.00	759	545	763	1.00550
88.30	64.80	24.90	766	549	765	0.99818
88.30	64.80	24.80	758	541	768	1.01294
