This file was created by CODIAN@move
Dienstag, 22. Juni 2010		21:38

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	351
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	52.10	39940	21860000	39940	1.00000
70.00	86.00	51.99	40060	21840000	40097	1.00092
70.00	86.00	51.90	40430	21870000	40412	0.99954
70.00	86.00	51.79	40620	21910000	40527	0.99772
70.00	86.00	51.70	40550	21740000	40774	1.00552
70.00	86.00	51.59	41030	21890000	40974	0.99863
70.00	86.00	51.50	41170	21860000	41170	1.00000
70.00	86.00	51.39	41280	21810000	41375	1.00229
70.00	86.00	51.30	41430	21780000	41582	1.00367
70.00	86.00	51.19	41820	21840000	41858	1.00092
70.00	86.00	51.10	41910	21810000	42006	1.00229
70.00	86.00	50.99	42300	21840000	42339	1.00092
70.00	86.00	50.90	42620	21890000	42562	0.99863
70.00	86.00	50.79	42550	21730000	42805	1.00598
70.00	86.00	50.70	43070	21840000	43109	1.00092
70.00	86.00	50.59	43310	21840000	43350	1.00092
70.00	86.00	50.50	43410	21780000	43569	1.00367
70.00	86.00	50.39	43770	21800000	43890	1.00275
70.00	86.00	50.30	43940	21810000	44041	1.00229
70.00	86.00	50.19	44520	21920000	44398	0.99726
70.00	86.00	50.10	44710	21880000	44669	0.99909
70.00	86.00	49.99	44930	21830000	44992	1.00137
70.00	86.00	49.90	45160	21820000	45243	1.00183
70.00	86.00	49.79	45580	21820000	45664	1.00183
70.00	86.00	49.70	45880	21830000	45943	1.00137
70.00	86.00	49.59	46310	21890000	46247	0.99863
70.00	86.00	49.50	46720	21910000	46613	0.99772
70.00	86.00	49.39	46870	21770000	47064	1.00413
70.00	86.00	49.30	46950	21690000	47318	1.00784
70.00	86.00	49.19	47850	21940000	47676	0.99635
70.00	86.00	49.10	48310	21990000	48024	0.99409
70.00	86.00	48.99	48580	21890000	48513	0.99863
70.00	86.00	48.90	48770	21840000	48815	1.00092
70.00	86.00	48.79	49310	21850000	49333	1.00046
70.00	86.00	48.70	49490	21790000	49649	1.00321
70.00	86.00	48.59	49950	21820000	50042	1.00183
70.00	86.00	48.50	50260	21700000	50631	1.00737
70.00	86.00	48.39	50620	21660000	51087	1.00923
70.00	86.00	48.30	50970	21620000	51536	1.01110
70.00	86.00	48.19	51660	21700000	52041	1.00737
70.00	86.00	48.10	52450	21750000	52715	1.00506
70.00	86.00	48.00	53100	21800000	53246	1.00275
70.00	86.00	47.90	54200	22030000	53782	0.99228
70.00	86.00	47.79	53680	21590000	54351	1.01251
70.00	86.00	47.70	54620	21770000	54846	1.00413
70.00	86.00	47.60	55420	21790000	55598	1.00321
70.00	86.00	47.49	56100	21770000	56332	1.00413
70.00	86.00	47.40	56960	21870000	56934	0.99954
70.00	86.00	47.29	57360	21720000	57730	1.00645
70.00	86.00	47.20	58350	21800000	58511	1.00275
70.00	86.00	47.09	59050	21820000	59158	1.00183
70.00	86.00	47.00	59890	21830000	59972	1.00137
70.00	86.00	46.89	60950	21880000	60894	0.99909
70.00	86.00	46.80	61840	21870000	61812	0.99954
70.00	86.00	46.70	63290	22020000	62830	0.99273
70.00	86.00	46.59	64230	21960000	63938	0.99545
70.00	86.00	46.50	65100	21920000	64922	0.99726
70.00	86.00	46.39	65820	21760000	66122	1.00460
70.00	86.00	46.30	67380	21890000	67288	0.99863
70.00	86.00	46.19	69030	21970000	68684	0.99499
70.00	86.00	46.10	70030	21820000	70158	1.00183
70.00	86.00	46.00	71880	21900000	71749	0.99817
70.00	86.00	45.90	73670	21940000	73401	0.99635
70.00	86.00	45.80	75510	21910000	75338	0.99772
70.00	86.00	45.70	77450	21900000	77309	0.99817
70.00	86.00	45.60	79150	21810000	79331	1.00229
70.00	86.00	45.50	81590	21840000	81665	1.00092
70.00	86.00	45.40	83470	21760000	83854	1.00460
70.00	86.00	45.29	86080	21740000	86555	1.00552
70.00	86.00	45.20	88910	21840000	88991	1.00092
70.00	86.00	45.09	91360	21780000	91696	1.00367
70.00	86.00	45.00	93900	21830000	94029	1.00137
70.00	86.00	44.89	96310	21820000	96487	1.00183
70.00	86.00	44.80	98640	21950000	98236	0.99590
70.00	86.00	44.69	99850	21850000	99896	1.00046
70.00	86.00	44.60	101200	21860000	101200	1.00000
70.00	86.00	44.49	102200	21960000	101735	0.99545
70.00	86.00	44.40	101500	21850000	101546	1.00046
70.00	86.00	44.29	100200	21810000	100430	1.00229
70.00	86.00	44.20	98750	21890000	98615	0.99863
70.00	86.00	44.09	95680	21870000	95636	0.99954
70.00	86.00	44.00	92080	21890000	91954	0.99863
70.00	86.00	43.89	87340	21860000	87340	1.00000
70.00	86.00	43.80	83000	22140000	81950	0.98735
70.00	86.00	43.69	75850	22010000	75333	0.99318
70.00	86.00	43.60	69030	21790000	69252	1.00321
70.00	86.00	43.49	61730	21740000	62071	1.00552
70.00	86.00	43.40	55160	21770000	55388	1.00413
70.00	86.00	43.29	48140	21820000	48228	1.00183
70.00	86.00	43.20	41590	21850000	41609	1.00046
70.00	86.00	43.09	35080	21830000	35128	1.00137
70.00	86.00	43.00	29400	21930000	29306	0.99681
70.00	86.00	42.89	23810	21810000	23865	1.00229
70.00	86.00	42.80	19370	21990000	19255	0.99409
